"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","27","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Charts show empty state when no data","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Location filter dropdown accessible","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Charts show empty state when no data","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","All 5 column headers present","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Next page navigation","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Expanded chart closes on X button click","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Charts remain visible after pagination","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","All column headers present","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Toast auto-dismisses within 5 seconds","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#12 — Street Light Notifications","Street Light toast appears on threshold breach","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Traffic card navigates to /traffic","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Combined filter with guaranteed zero results","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Pagination resets to page 1 after filter applied","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Combined filters — DDT","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Expand Power chart shows stats","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Combined filters (location + status)","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","All column headers present","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Click outside panel closes it","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Charts update when location filter applied","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Sorting by column","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Traffic Density sort indicator changes","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Power Consumption chart visible on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Expand Average Speed chart shows stats","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Charts update when location filter applied","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#12 — Street Light Notifications","Street Light notification message matches format","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Status filter shows only that status (ON/OFF)","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#15 — Air Pollution Notifications","Air Pollution notification contains location","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Charts show empty state when no data","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Pagination controls visible","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Expanded chart closes on X button click","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Dismiss last notification shows empty state","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Expanded chart closes on X button click","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Bell icon visible on homepage","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Congestion level filter — DDT all 4 levels","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Charts update when location filter applied","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Combined filter with guaranteed zero results","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#15 — Air Pollution Notifications","Air Pollution toast appears on threshold breach","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Location filter shows only that location","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Expanded Ozone chart closes on X button","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Brightness sort indicator changes on click","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#12 — Street Light Notifications","Street Light notification contains location","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Date range filter — DDT","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Location filter — DDT all 3 locations","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Bell click opens notification panel","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Combined filter with guaranteed zero results","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Street Light card navigates to /street-light (Sprint 4 — feature now exists)","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Dismiss reduces count by exactly 1","0","0","1","0","0"
