"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 17:10:51 EEST 2026","Sat Jul 04 17:10:53 EEST 2026","2866","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testLogoutClearsStorage_A034","testLogoutClearsStorage_A034",""
"passed","Sat Jul 04 17:48:26 EEST 2026","Sat Jul 04 17:48:31 EEST 2026","4756","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testChartsEmptyState_SLCG005","testChartsEmptyState_SLCG005",""
"passed","Sat Jul 04 18:08:58 EEST 2026","Sat Jul 04 18:09:02 EEST 2026","4113","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testLocationFilterAccessible_AP005","testLocationFilterAccessible_AP005",""
"passed","Sat Jul 04 18:04:56 EEST 2026","Sat Jul 04 18:05:01 EEST 2026","5307","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testChartsEmptyState_APCG005","testChartsEmptyState_APCG005",""
"passed","Sat Jul 04 17:44:50 EEST 2026","Sat Jul 04 17:44:53 EEST 2026","2956","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testTableHasAllColumnHeaders_TD006","testTableHasAllColumnHeaders_TD006","Asserts the table has all 5 required columns. Case-insensitive check."
"passed","Sat Jul 04 16:59:06 EEST 2026","Sat Jul 04 16:59:11 EEST 2026","5171","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.ProfileTests","com.dxc.iot.tests.ProfileTests","testProfileDataDisplay_A011","testProfileDataDisplay_A011",""
"passed","Sat Jul 04 18:09:53 EEST 2026","Sat Jul 04 18:09:58 EEST 2026","5592","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testNextPaginationChangesData_AP003","testNextPaginationChangesData_AP003",""
"passed","Sat Jul 04 18:08:19 EEST 2026","Sat Jul 04 18:08:35 EEST 2026","15421","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testExpandedChartCloses_APCG007","testExpandedChartCloses_APCG007",""
"passed","Sat Jul 04 17:48:48 EEST 2026","Sat Jul 04 17:48:55 EEST 2026","6699","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testChartsVisibleAfterPagination_SLCG008","testChartsVisibleAfterPagination_SLCG008",""
"passed","Sat Jul 04 18:12:52 EEST 2026","Sat Jul 04 18:12:54 EEST 2026","2838","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testTableHasAllColumnHeaders_AP006","testTableHasAllColumnHeaders_AP006",""
