"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 00:26:46 EEST 2026","Mon Jul 13 00:26:50 EEST 2026","4176","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testLocationFilterAccessible_SL005","testLocationFilterAccessible_SL005",""
"passed","Mon Jul 13 00:22:27 EEST 2026","Mon Jul 13 00:22:32 EEST 2026","5328","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testCombinedFilterZeroResults_SL024","testCombinedFilterZeroResults_SL024",""
"passed","Mon Jul 13 00:44:00 EEST 2026","Mon Jul 13 00:44:02 EEST 2026","2605","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testOzoneChartVisible_APCG002","testOzoneChartVisible_APCG002",""
"passed","Mon Jul 13 00:26:25 EEST 2026","Mon Jul 13 00:26:40 EEST 2026","15116","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testExpandedPowerChartCloses_SLCG010","testExpandedPowerChartCloses_SLCG010",""
"passed","Mon Jul 13 00:38:55 EEST 2026","Mon Jul 13 00:39:02 EEST 2026","6922","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testClearDateFilterRestoresRows_AP021","testClearDateFilterRestoresRows_AP021",""
"passed","Mon Jul 13 00:21:35 EEST 2026","Mon Jul 13 00:21:41 EEST 2026","5333","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testChartsUpdateOnFilter_SLCG003","testChartsUpdateOnFilter_SLCG003",""
"passed","Mon Jul 13 00:14:48 EEST 2026","Mon Jul 13 00:14:57 EEST 2026","8303","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testNextPaginationChangesData_TD003","testNextPaginationChangesData_TD003","Clicks Next and asserts the table loads different data."
"passed","Sun Jul 12 23:33:09 EEST 2026","Sun Jul 12 23:33:13 EEST 2026","4406","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testBUG_LocalStoragePersists_A031","testBUG_LocalStoragePersists_A031",""
"passed","Mon Jul 13 00:21:06 EEST 2026","Mon Jul 13 00:21:10 EEST 2026","4384","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testBrightnessSortHeaderChanges_SL004","testBrightnessSortHeaderChanges_SL004",""
"passed","Sun Jul 12 23:34:18 EEST 2026","Sun Jul 12 23:34:24 EEST 2026","6213","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.EntryPointTests","com.dxc.iot.tests.EntryPointTests","testAirPollutionCardOpensModal_EP003","testAirPollutionCardOpensModal_EP003","Clicks the Air Pollution card and asserts navigation to /air-pollution."
